dataset,optimizer,rep,seed,eval,best_so_far
steel-faults,bo_tpe,0,0,64,0.7564298309304014
steel-faults,bo_tpe,0,0,65,0.7564298309304014
steel-faults,bo_tpe,0,0,66,0.7564298309304014
steel-faults,bo_tpe,0,0,67,0.7564298309304014
steel-faults,bo_tpe,0,0,68,0.7564298309304014
steel-faults,bo_tpe,0,0,69,0.7564298309304014
steel-faults,bo_tpe,0,0,70,0.7564298309304014
steel-faults,bo_tpe,0,0,71,0.7564298309304014
steel-faults,bo_tpe,0,0,72,0.7564298309304014
steel-faults,bo_tpe,0,0,73,0.7564298309304014
steel-faults,bo_tpe,0,0,74,0.75900010372368
steel-faults,bo_tpe,0,0,75,0.75900010372368
steel-faults,bo_tpe,0,0,76,0.75900010372368
steel-faults,bo_tpe,0,0,77,0.75900010372368
steel-faults,bo_tpe,0,0,78,0.75900010372368
steel-faults,bo_tpe,0,0,79,0.75900010372368
steel-faults,bo_tpe,0,0,80,0.75900010372368
steel-faults,bo_tpe,0,0,81,0.75900010372368
steel-faults,bo_tpe,0,0,82,0.75900010372368
steel-faults,bo_tpe,0,0,83,0.75900010372368
steel-faults,bo_tpe,0,0,84,0.75900010372368
steel-faults,bo_tpe,0,0,85,0.75900010372368
steel-faults,bo_tpe,0,0,86,0.75900010372368
steel-faults,bo_tpe,0,0,87,0.75900010372368
steel-faults,bo_tpe,0,0,88,0.75900010372368
steel-faults,bo_tpe,0,0,89,0.75900010372368
steel-faults,bo_tpe,0,0,90,0.75900010372368
steel-faults,bo_tpe,0,0,91,0.75900010372368
steel-faults,bo_tpe,0,0,92,0.75900010372368
steel-faults,bo_tpe,0,0,93,0.75900010372368
steel-faults,bo_tpe,0,0,94,0.75900010372368
steel-faults,bo_tpe,0,0,95,0.75900010372368
steel-faults,bo_tpe,0,0,96,0.75900010372368
steel-faults,bo_tpe,0,0,97,0.75900010372368
steel-faults,bo_tpe,0,0,98,0.75900010372368
steel-faults,bo_tpe,0,0,99,0.75900010372368
steel-faults,bo_tpe,0,0,100,0.75900010372368
steel-faults,pso,0,0,1,0.7267814542059952
steel-faults,pso,0,0,2,0.7267814542059952
steel-faults,pso,0,0,3,0.7267814542059952
steel-faults,pso,0,0,4,0.7267814542059952
steel-faults,pso,0,0,5,0.7267814542059952
steel-faults,pso,0,0,6,0.7267814542059952
steel-faults,pso,0,0,7,0.7267814542059952
steel-faults,pso,0,0,8,0.7267814542059952
steel-faults,pso,0,0,9,0.7267814542059952
steel-faults,pso,0,0,10,0.7338720049787367
steel-faults,pso,0,0,11,0.7338720049787367
steel-faults,pso,0,0,12,0.7338720049787367
steel-faults,pso,0,0,13,0.7338720049787367
steel-faults,pso,0,0,14,0.7338720049787367
steel-faults,pso,0,0,15,0.7338720049787367
steel-faults,pso,0,0,16,0.7338720049787367
steel-faults,pso,0,0,17,0.7338720049787367
steel-faults,pso,0,0,18,0.7338720049787367
steel-faults,pso,0,0,19,0.7345233896898662
steel-faults,pso,0,0,20,0.7345233896898662
steel-faults,pso,0,0,21,0.7448252255990042
steel-faults,pso,0,0,22,0.7448252255990042
steel-faults,pso,0,0,23,0.7448252255990042
steel-faults,pso,0,0,24,0.7448252255990042
steel-faults,pso,0,0,25,0.7448252255990042
steel-faults,pso,0,0,26,0.7448252255990042
steel-faults,pso,0,0,27,0.7448252255990042
steel-faults,pso,0,0,28,0.7448252255990042
steel-faults,pso,0,0,29,0.7448252255990042
steel-faults,pso,0,0,30,0.7512664661342184
steel-faults,pso,0,0,31,0.7512664661342184
steel-faults,pso,0,0,32,0.7512664661342184
steel-faults,pso,0,0,33,0.7512664661342184
steel-faults,pso,0,0,34,0.7512664661342184
steel-faults,pso,0,0,35,0.7512664661342184
steel-faults,pso,0,0,36,0.7512664661342184
steel-faults,pso,0,0,37,0.7512664661342184
steel-faults,pso,0,0,38,0.7512664661342184
steel-faults,pso,0,0,39,0.7512664661342184
steel-faults,pso,0,0,40,0.7512664661342184
steel-faults,pso,0,0,41,0.7512664661342184
steel-faults,pso,0,0,42,0.7512664661342184
steel-faults,pso,0,0,43,0.7512664661342184
steel-faults,pso,0,0,44,0.7512664661342184
steel-faults,pso,0,0,45,0.7512664661342184
steel-faults,pso,0,0,46,0.7512664661342184
steel-faults,pso,0,0,47,0.7512664661342184
steel-faults,pso,0,0,48,0.7512664661342184
steel-faults,pso,0,0,49,0.7512664661342184
steel-faults,pso,0,0,50,0.7512664661342184
steel-faults,pso,0,0,51,0.7551312104553469
steel-faults,pso,0,0,52,0.7551312104553469
steel-faults,pso,0,0,53,0.7551312104553469
steel-faults,pso,0,0,54,0.7551312104553469
steel-faults,pso,0,0,55,0.7551312104553469
steel-faults,pso,0,0,56,0.7551312104553469
steel-faults,pso,0,0,57,0.7551312104553469
steel-faults,pso,0,0,58,0.7551312104553469
steel-faults,pso,0,0,59,0.7551312104553469
steel-faults,pso,0,0,60,0.7551312104553469
steel-faults,pso,0,0,61,0.7551312104553469
steel-faults,pso,0,0,62,0.7551312104553469
steel-faults,pso,0,0,63,0.7551312104553469
steel-faults,pso,0,0,64,0.7551312104553469
steel-faults,pso,0,0,65,0.7551312104553469
steel-faults,pso,0,0,66,0.7551312104553469
steel-faults,pso,0,0,67,0.7551312104553469
steel-faults,pso,0,0,68,0.7551332849289493
steel-faults,pso,0,0,69,0.7551332849289493
steel-faults,pso,0,0,70,0.7551332849289493
steel-faults,pso,0,0,71,0.7551332849289493
steel-faults,pso,0,0,72,0.7551332849289493
steel-faults,pso,0,0,73,0.7551332849289493
steel-faults,pso,0,0,74,0.7551332849289493
steel-faults,pso,0,0,75,0.7551332849289493
steel-faults,pso,0,0,76,0.756421533035992
steel-faults,pso,0,0,77,0.756421533035992
steel-faults,pso,0,0,78,0.756421533035992
steel-faults,pso,0,0,79,0.756421533035992
steel-faults,pso,0,0,80,0.756421533035992
steel-faults,pso,0,0,81,0.756421533035992
steel-faults,pso,0,0,82,0.756421533035992
steel-faults,pso,0,0,83,0.756421533035992
steel-faults,pso,0,0,84,0.756421533035992
steel-faults,pso,0,0,85,0.756421533035992
steel-faults,pso,0,0,86,0.756421533035992
steel-faults,pso,0,0,87,0.756421533035992
steel-faults,pso,0,0,88,0.756421533035992
steel-faults,pso,0,0,89,0.756421533035992
steel-faults,pso,0,0,90,0.756421533035992
steel-faults,pso,0,0,91,0.756421533035992
steel-faults,pso,0,0,92,0.756421533035992
steel-faults,pso,0,0,93,0.756421533035992
steel-faults,pso,0,0,94,0.756421533035992
steel-faults,pso,0,0,95,0.756421533035992
steel-faults,pso,0,0,96,0.756421533035992
steel-faults,pso,0,0,97,0.756421533035992
steel-faults,pso,0,0,98,0.756421533035992
steel-faults,pso,0,0,99,0.756421533035992
steel-faults,pso,0,0,100,0.756421533035992
steel-faults,de,0,0,1,0.7261404418628773
steel-faults,de,0,0,2,0.7261404418628773
steel-faults,de,0,0,3,0.7261404418628773
steel-faults,de,0,0,4,0.731301732185458
steel-faults,de,0,0,5,0.731301732185458
steel-faults,de,0,0,6,0.731301732185458
steel-faults,de,0,0,7,0.731301732185458
steel-faults,de,0,0,8,0.731301732185458
steel-faults,de,0,0,9,0.731301732185458
steel-faults,de,0,0,10,0.731301732185458
steel-faults,de,0,0,11,0.731301732185458
steel-faults,de,0,0,12,0.731301732185458
steel-faults,de,0,0,13,0.7461113992324447
steel-faults,de,0,0,14,0.7461113992324447
steel-faults,de,0,0,15,0.7461113992324447
steel-faults,de,0,0,16,0.7461113992324447
steel-faults,de,0,0,17,0.7461113992324447
steel-faults,de,0,0,18,0.7461113992324447
steel-faults,de,0,0,19,0.7461113992324447
steel-faults,de,0,0,20,0.7461113992324447
steel-faults,de,0,0,21,0.7461113992324447
steel-faults,de,0,0,22,0.7461113992324447
steel-faults,de,0,0,23,0.7461113992324447
steel-faults,de,0,0,24,0.7461113992324447
steel-faults,de,0,0,25,0.7461113992324447
steel-faults,de,0,0,26,0.7461113992324447
steel-faults,de,0,0,27,0.7461113992324447
steel-faults,de,0,0,28,0.7461113992324447
steel-faults,de,0,0,29,0.7461113992324447
steel-faults,de,0,0,30,0.7461113992324447
steel-faults,de,0,0,31,0.7461113992324447
steel-faults,de,0,0,32,0.7461113992324447
steel-faults,de,0,0,33,0.7461113992324447
steel-faults,de,0,0,34,0.7461113992324447
steel-faults,de,0,0,35,0.7461113992324447
steel-faults,de,0,0,36,0.7461113992324447
steel-faults,de,0,0,37,0.7461113992324447
steel-faults,de,0,0,38,0.7461113992324447
steel-faults,de,0,0,39,0.7461113992324447
steel-faults,de,0,0,40,0.7461113992324447
steel-faults,de,0,0,41,0.7461113992324447
steel-faults,de,0,0,42,0.7461155481796495
steel-faults,de,0,0,43,0.7461155481796495
steel-faults,de,0,0,44,0.7461155481796495
steel-faults,de,0,0,45,0.7461155481796495
steel-faults,de,0,0,46,0.7461155481796495
steel-faults,de,0,0,47,0.7461155481796495
steel-faults,de,0,0,48,0.7461155481796495
steel-faults,de,0,0,49,0.7461155481796495
steel-faults,de,0,0,50,0.7461155481796495
steel-faults,de,0,0,51,0.7461155481796495
steel-faults,de,0,0,52,0.7461155481796495
steel-faults,de,0,0,53,0.7474058707602946
steel-faults,de,0,0,54,0.7474058707602946
steel-faults,de,0,0,55,0.7474120941811015
steel-faults,de,0,0,56,0.7474120941811015
steel-faults,de,0,0,57,0.7474120941811015
steel-faults,de,0,0,58,0.7480572554714241
steel-faults,de,0,0,59,0.7480572554714241
steel-faults,de,0,0,60,0.7480572554714241
steel-faults,de,0,0,61,0.7480572554714241
steel-faults,de,0,0,62,0.7480572554714241
steel-faults,de,0,0,63,0.7480572554714241
steel-faults,de,0,0,64,0.7480572554714241
steel-faults,de,0,0,65,0.7480572554714241
steel-faults,de,0,0,66,0.7480572554714241
steel-faults,de,0,0,67,0.7480572554714241
steel-faults,de,0,0,68,0.7480572554714241
steel-faults,de,0,0,69,0.7480572554714241
steel-faults,de,0,0,70,0.7480572554714241
steel-faults,de,0,0,71,0.7480572554714241
steel-faults,de,0,0,72,0.7480572554714241
steel-faults,de,0,0,73,0.7480572554714241
steel-faults,de,0,0,74,0.7480572554714241
steel-faults,de,0,0,75,0.7480572554714241
steel-faults,de,0,0,76,0.7480572554714241
steel-faults,de,0,0,77,0.7480572554714241
steel-faults,de,0,0,78,0.7480572554714241
steel-faults,de,0,0,79,0.7480572554714241
steel-faults,de,0,0,80,0.7480572554714241
steel-faults,de,0,0,81,0.7480572554714241
steel-faults,de,0,0,82,0.7480572554714241
steel-faults,de,0,0,83,0.7480572554714241
steel-faults,de,0,0,84,0.7480572554714241
steel-faults,de,0,0,85,0.7480572554714241
steel-faults,de,0,0,86,0.7480572554714241
steel-faults,de,0,0,87,0.7480572554714241
steel-faults,de,0,0,88,0.7480572554714241
steel-faults,de,0,0,89,0.7480572554714241
steel-faults,de,0,0,90,0.7480572554714241
steel-faults,de,0,0,91,0.7480572554714241
steel-faults,de,0,0,92,0.7480572554714241
steel-faults,de,0,0,93,0.7480572554714241
steel-faults,de,0,0,94,0.7480572554714241
steel-faults,de,0,0,95,0.7480572554714241
steel-faults,de,0,0,96,0.7480572554714241
steel-faults,de,0,0,97,0.7480572554714241
steel-faults,de,0,0,98,0.7480572554714241
steel-faults,de,0,0,99,0.7480572554714241
steel-faults,de,0,0,100,0.7480572554714241
steel-faults,ga,0,0,1,0.7261404418628773
steel-faults,ga,0,0,2,0.7261404418628773
steel-faults,ga,0,0,3,0.7261404418628773
steel-faults,ga,0,0,4,0.731301732185458
steel-faults,ga,0,0,5,0.731301732185458
steel-faults,ga,0,0,6,0.731301732185458
steel-faults,ga,0,0,7,0.731301732185458
steel-faults,ga,0,0,8,0.731301732185458
steel-faults,ga,0,0,9,0.731301732185458
steel-faults,ga,0,0,10,0.731301732185458
steel-faults,ga,0,0,11,0.731301732185458
steel-faults,ga,0,0,12,0.731301732185458
steel-faults,ga,0,0,13,0.7461113992324447
steel-faults,ga,0,0,14,0.7461113992324447
steel-faults,ga,0,0,15,0.7461113992324447
steel-faults,ga,0,0,16,0.7461113992324447
steel-faults,ga,0,0,17,0.7461113992324447
steel-faults,ga,0,0,18,0.7461113992324447
steel-faults,ga,0,0,19,0.7461113992324447
steel-faults,ga,0,0,20,0.7461113992324447
steel-faults,ga,0,0,21,0.7461113992324447
steel-faults,ga,0,0,22,0.7461113992324447
steel-faults,ga,0,0,23,0.7461113992324447
steel-faults,ga,0,0,24,0.7461113992324447
steel-faults,ga,0,0,25,0.7461113992324447
steel-faults,ga,0,0,26,0.7461113992324447
steel-faults,ga,0,0,27,0.7461113992324447
steel-faults,ga,0,0,28,0.7461113992324447
steel-faults,ga,0,0,29,0.7461113992324447
steel-faults,ga,0,0,30,0.7461113992324447
steel-faults,ga,0,0,31,0.7461113992324447
steel-faults,ga,0,0,32,0.7461113992324447
steel-faults,ga,0,0,33,0.7461113992324447
steel-faults,ga,0,0,34,0.7583528679597553
steel-faults,ga,0,0,35,0.7583528679597553
steel-faults,ga,0,0,36,0.7583528679597553
steel-faults,ga,0,0,37,0.7583528679597553
steel-faults,ga,0,0,38,0.7583528679597553
steel-faults,ga,0,0,39,0.7583528679597553
steel-faults,ga,0,0,40,0.7583528679597553
steel-faults,ga,0,0,41,0.7583528679597553
steel-faults,ga,0,0,42,0.7583528679597553
steel-faults,ga,0,0,43,0.7583528679597553
steel-faults,ga,0,0,44,0.7583528679597553
steel-faults,ga,0,0,45,0.7583528679597553
steel-faults,ga,0,0,46,0.7583528679597553
steel-faults,ga,0,0,47,0.7583528679597553
steel-faults,ga,0,0,48,0.7583528679597553
steel-faults,ga,0,0,49,0.7583528679597553
steel-faults,ga,0,0,50,0.7583528679597553
steel-faults,ga,0,0,51,0.7583528679597553
steel-faults,ga,0,0,52,0.7583528679597553
steel-faults,ga,0,0,53,0.7583528679597553
steel-faults,ga,0,0,54,0.7583528679597553
steel-faults,ga,0,0,55,0.7583528679597553
steel-faults,ga,0,0,56,0.7583528679597553
steel-faults,ga,0,0,57,0.7583528679597553
steel-faults,ga,0,0,58,0.7583528679597553
steel-faults,ga,0,0,59,0.7583528679597553
steel-faults,ga,0,0,60,0.7583528679597553
steel-faults,ga,0,0,61,0.7583528679597553
steel-faults,ga,0,0,62,0.7583528679597553
steel-faults,ga,0,0,63,0.7583528679597553
steel-faults,ga,0,0,64,0.7583528679597553
steel-faults,ga,0,0,65,0.7583528679597553
steel-faults,ga,0,0,66,0.7583528679597553
steel-faults,ga,0,0,67,0.7583528679597553
steel-faults,ga,0,0,68,0.7583528679597553
steel-faults,ga,0,0,69,0.7583528679597553
steel-faults,ga,0,0,70,0.7583528679597553
steel-faults,ga,0,0,71,0.7583528679597553
steel-faults,ga,0,0,72,0.7583528679597553
steel-faults,ga,0,0,73,0.7583528679597553
steel-faults,ga,0,0,74,0.7583528679597553
steel-faults,ga,0,0,75,0.7583528679597553
