dataset,optimizer,rep,seed,seed_split,seed_cv,seed_opt,decomp_mode,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
banknote,grid,0,0,0,42,0,baseline,1.0,1.0,-0.5555555555555554,3.0,8.578211545944214,18,100
banknote,random,0,0,0,42,0,baseline,1.0,1.0,5.976270078546495,-2.12659140529645,7.070804119110107,1,100
banknote,bo_tpe,0,0,0,42,0,baseline,1.0,1.0,5.976270078546495,-2.12659140529645,5.673578977584839,1,100
banknote,pso,0,0,0,42,0,baseline,1.0,1.0,2.5791215948046524,2.6594675576322118,6.094830513000488,6,100
banknote,de,0,0,0,42,0,baseline,1.0,1.0,11.265404784005447,1.429600390998992,7.2484290599823,3,100
banknote,ga,0,0,0,42,0,baseline,1.0,1.0,11.265404784005447,1.429600390998992,6.184687852859497,3,100
banknote,sa,0,0,0,42,0,baseline,1.0,1.0,5.976270078546495,-2.12659140529645,6.724120378494263,1,100
banknote,grid,1,1,1,42,1,baseline,1.0,1.0,-0.5555555555555554,-1.0,8.064959049224854,18,100
banknote,random,1,1,1,42,1,baseline,1.0,1.0,3.3404400940514805,-2.0341591180411545,8.010778427124023,1,100
banknote,bo_tpe,1,1,1,42,1,baseline,1.0,1.0,3.3404400940514805,-2.0341591180411545,5.930333137512207,1,100
banknote,pso,1,1,1,42,1,baseline,1.0,1.0,4.36088912096986,-0.444398423549341,5.2391088008880615,1,100
banknote,de,1,1,1,42,1,baseline,1.0,1.0,5.236432494005134,2.108346533866836,8.028283834457397,1,100
banknote,ga,1,1,1,42,1,baseline,1.0,1.0,5.236432494005134,2.108346533866836,7.701868295669556,1,100
banknote,sa,1,1,1,42,1,baseline,1.0,1.0,3.3404400940514805,-2.0341591180411545,4.561776638031006,1,100
banknote,grid,2,2,2,42,2,baseline,1.0,1.0,-0.5555555555555554,-1.0,7.833552598953247,18,100
banknote,random,2,2,2,42,2,baseline,1.0,1.0,7.422676655385898,-5.475442303013297,7.5438408851623535,2,100
banknote,bo_tpe,2,2,2,42,2,baseline,1.0,1.0,7.422676655385898,-5.475442303013297,5.6029462814331055,2,100
banknote,pso,2,2,2,42,2,baseline,1.0,1.0,10.778358178372292,-4.104209959619352,4.872275352478027,1,100
banknote,de,2,2,2,42,2,baseline,1.0,1.0,7.00201051931308,-1.8859105173876962,6.251643896102905,3,100
banknote,ga,2,2,2,42,2,baseline,1.0,1.0,7.00201051931308,-1.8859105173876962,5.005995035171509,3,100
banknote,sa,2,2,2,42,2,baseline,1.0,1.0,1.4671345849505346,-2.7335726765514194,6.973523139953613,18,100
banknote,grid,3,3,3,42,3,baseline,1.0,1.0,-0.5555555555555554,-1.0,7.932779788970947,18,100
banknote,random,3,3,3,42,3,baseline,1.0,1.0,6.015958051491509,-2.2533391928741136,7.625419616699219,1,100
banknote,bo_tpe,3,3,3,42,3,baseline,1.0,1.0,6.015958051491509,-2.2533391928741136,5.954113006591797,1,100
banknote,pso,3,3,3,42,3,baseline,1.0,1.0,7.55580736700383,-6.3220098774498865,5.389660358428955,1,100
banknote,de,3,3,3,42,3,baseline,1.0,1.0,11.025489304127937,-4.52108335084138,5.959216356277466,2,100
banknote,ga,3,3,3,42,3,baseline,1.0,1.0,11.025489304127937,-4.52108335084138,6.2792274951934814,2,100
banknote,sa,3,3,3,42,3,baseline,1.0,1.0,6.015958051491509,-2.2533391928741136,8.255164623260498,1,100
banknote,grid,4,4,4,42,4,baseline,1.0,1.0,-0.5555555555555554,3.0,8.013155460357666,18,100
banknote,random,4,4,4,42,4,baseline,1.0,1.0,14.340596780273533,-5.149819514836999,6.887457370758057,1,100
banknote,bo_tpe,4,4,4,42,4,baseline,1.0,1.0,14.340596780273533,-5.149819514836999,5.559595346450806,1,100
banknote,pso,4,4,4,42,4,baseline,1.0,1.0,12.6376291411855,-7.205363499590426,5.092257976531982,1,100
banknote,de,4,4,4,42,4,baseline,1.0,1.0,13.86112211144735,-5.796104049341491,5.223588466644287,1,100
banknote,ga,4,4,4,42,4,baseline,1.0,1.0,13.86112211144735,-5.796104049341491,5.447964906692505,1,100
banknote,sa,4,4,4,42,4,baseline,1.0,1.0,14.340596780273533,-5.149819514836999,4.769515514373779,1,100
banknote,grid,5,5,5,42,5,baseline,1.0,1.0,1.666666666666667,-3.0,7.949603080749512,18,100
banknote,random,5,5,5,42,5,baseline,1.0,1.0,-0.8656168932114721,1.5349963428825895,7.927150726318359,1,100
banknote,bo_tpe,5,5,5,42,5,baseline,1.0,1.0,-0.8656168932114721,1.5349963428825895,6.160910129547119,1,100
banknote,pso,5,5,5,42,5,baseline,1.0,1.0,10.156448909697165,2.3026273708358147,5.1249918937683105,1,100
banknote,de,5,5,5,42,5,baseline,1.0,1.0,11.100058474907605,-0.4570657847431132,6.156179904937744,1,100
banknote,ga,5,5,5,42,5,baseline,1.0,1.0,11.100058474907605,-0.4570657847431132,6.658783912658691,1,100
banknote,sa,5,5,5,42,5,baseline,1.0,1.0,2.702160669254232,1.9350540157254807,5.772151470184326,1,100
